FUNCTION	DESCRIPTION
all()		Return True if all elements of the list are true (or if the list is empty).
any()		Return True if any element of the list is true. If the list is empty, return False.
enumerate()	Return an enumerate object. It contains the index and value of all the items of list as a tuple.
len()		Return the length (the number of items) in the list.
list()		Convert an iterable (tuple, string, set, dictionary) to a list.
max()		Return the largest item in the list.
min()		Return the smallest item in the list
sorted()	Return a new sorted list (does not sort the list itself).
sum()		Return the sum of all elements in the list.
